Sharp-tailed Sandpiper	Calidris acuminata	https://ebird.org/species/shtsan/	2.67
Yellow-tufted Honeyeater	Lichenostomus melanops	https://ebird.org/species/yethon3/	2.67
Olive-backed Oriole	Oriolus sagittatus	https://ebird.org/species/olbori1/	2.64
Shining Bronze-Cuckoo	Chrysococcyx lucidus	https://ebird.org/species/shbcuc1/	2.6
Australasian Gannet	Morus serrator	https://ebird.org/species/ausgan1/	2.59
Peaceful Dove	Geopelia placida	https://ebird.org/species/peadov1/	2.53
Whiskered Tern	Chlidonias hybrida	https://ebird.org/species/whiter2/	2.36
Fuscous Honeyeater	Ptilotula fusca	https://ebird.org/species/fushon1/	2.36
Cape Barren Goose	Cereopsis novaehollandiae	https://ebird.org/species/cabgoo1/	2.33
Red-necked Avocet	Recurvirostra novaehollandiae	https://ebird.org/species/renavo1/	2.24
Restless Flycatcher	Myiagra inquieta	https://ebird.org/species/resfly1/	2.23
Purple-crowned Lorikeet	Parvipsitta porphyrocephala	https://ebird.org/species/puclor1/	2.23
Eastern Whipbird	Psophodes olivaceus	https://ebird.org/species/easwhi1/	2.22
Eastern Shrike-tit	Falcunculus frontatus	https://ebird.org/species/cresht1/	2.13
Nankeen Night-Heron	Nycticorax caledonicus	https://ebird.org/species/runher1/	2.1
Satin Bowerbird	Ptilonorhynchus violaceus	https://ebird.org/species/satbow1/	2.1
Blue-faced Honeyeater	Entomyzon cyanotis	https://ebird.org/species/blfhon1/	2.01
Red-kneed Dotterel	Erythrogonys cinctus	https://ebird.org/species/rekdot1/	1.94
Australian Hobby	Falco longipennis	https://ebird.org/species/aushob1/	1.89
Striated Fieldwren	Calamanthus fuliginosus	https://ebird.org/species/strfie1/	1.89
Curlew Sandpiper	Calidris ferruginea	https://ebird.org/species/cursan/	1.84
Great Crested Grebe	Podiceps cristatus	https://ebird.org/species/grcgre1/	1.81
Varied Sittella	Daphoenositta chrysoptera	https://ebird.org/species/varsit8/	1.81
Little Egret	Egretta garzetta	https://ebird.org/species/litegr/	1.8
Collared Sparrowhawk	Accipiter cirrocephalus	https://ebird.org/species/colspa1/	1.79
Caspian Tern	Hydroprogne caspia	https://ebird.org/species/caster1/	1.68
Common Greenshank	Tringa nebularia	https://ebird.org/species/comgre/	1.67
Red-capped Robin	Petroica goodenovii	https://ebird.org/species/recrob1/	1.61
Noisy Friarbird	Philemon corniculatus	https://ebird.org/species/noifri1/	1.58
White-bellied Sea-Eagle	Icthyophaga leucogaster	https://ebird.org/species/wbseag1/	1.56
Buff-banded Rail	Gallirallus philippensis	https://ebird.org/species/bubrai1/	1.49
Little Eagle	Hieraaetus morphnoides	https://ebird.org/species/liteag1/	1.49
Rainbow Bee-eater	Merops ornatus	https://ebird.org/species/rabeat1/	1.48
Crescent Honeyeater	Phylidonyris pyrrhopterus	https://ebird.org/species/crehon2/	1.47
Pied Butcherbird	Cracticus nigrogularis	https://ebird.org/species/piebut1/	1.47
Peregrine Falcon	Falco peregrinus	https://ebird.org/species/perfal/	1.44
Australian Spotted Crake	Porzana fluminea	https://ebird.org/species/auscra1/	1.41
Superb Lyrebird	Menura novaehollandiae	https://ebird.org/species/suplyr1/	1.4
Zebra Finch	Taeniopygia guttata	https://ebird.org/species/zebfin2/	1.34
White-browed Woodswallow	Artamus superciliosus	https://ebird.org/species/whbwoo5/	1.33
Brolga	Antigone rubicunda	https://ebird.org/species/brolga1/	1.31
Sooty Oystercatcher	Haematopus fuliginosus	https://ebird.org/species/soooys1/	1.31
Pallid Cuckoo	Cacomantis pallidus	https://ebird.org/species/palcuc1/	1.29
Black-tailed Nativehen	Tribonyx ventralis	https://ebird.org/species/btnhen1/	1.28
Blue-winged Parrot	Neophema chrysostoma	https://ebird.org/species/blwpar3/	1.27
Little Lorikeet	Parvipsitta pusilla	https://ebird.org/species/litlor1/	1.27
Rufous Songlark	Cincloramphus mathewsi	https://ebird.org/species/rufson1/	1.27
Lewin's Honeyeater	Meliphaga lewinii	https://ebird.org/species/lewhon1/	1.26
Latham's Snipe	Gallinago hardwickii	https://ebird.org/species/latsni1/	1.25
Australian Ringneck	Barnardius zonarius	https://ebird.org/species/polpar1/	1.24
Freckled Duck	Stictonetta naevosa	https://ebird.org/species/freduc1/	1.2
Black-chinned Honeyeater	Melithreptus gularis	https://ebird.org/species/blchon2/	1.19
Chestnut-rumped Thornbill	Acanthiza uropygialis	https://ebird.org/species/chrtho1/	1.12
Yellow-plumed Honeyeater	Ptilotula ornata	https://ebird.org/species/yephon1/	1.11
Emu	Dromaius novaehollandiae	https://ebird.org/species/emu1/	1.05
Spotless Crake	Zapornia tabuensis	https://ebird.org/species/spocra2/	1.04
Hooded Robin	Melanodryas cucullata	https://ebird.org/species/hoorob1/	1.03
Diamond Firetail	Stagonopleura guttata	https://ebird.org/species/diafir1/	1
Rose Robin	Petroica rosea	https://ebird.org/species/rosrob1/	0.9935
Bar-tailed Godwit	Limosa lapponica	https://ebird.org/species/batgod/	0.9833
White-winged Triller	Lalage tricolor	https://ebird.org/species/whwtri1/	0.9803
Little Friarbird	Philemon citreogularis	https://ebird.org/species/litfri1/	0.9769
Hooded Plover	Charadrius cucullatus	https://ebird.org/species/hooplo2/	0.9678
Banded Stilt	Cladorhynchus leucocephalus	https://ebird.org/species/bansti1/	0.9436
Southern Boobook	Ninox boobook	https://ebird.org/species/souboo8/	0.9332
Greater Bluebonnet	Northiella haematogaster	https://ebird.org/species/bluebo1/	0.852
Southern Whiteface	Aphelocephala leucopsis	https://ebird.org/species/souwhi1/	0.841
Bassian Thrush	Zoothera lunulata	https://ebird.org/species/oltthr1/	0.8384
Crested Bellbird	Oreoica gutturalis	https://ebird.org/species/crebel1/	0.838
Stubble Quail	Coturnix pectoralis	https://ebird.org/species/stuqua1/	0.8314
Eurasian Tree Sparrow	Passer montanus	https://ebird.org/species/eutspa/	0.8002
Marsh Sandpiper	Tringa stagnatilis	https://ebird.org/species/marsan/	0.7813
Forest Raven	Corvus tasmanicus	https://ebird.org/species/forrav1/	0.7785
Double-banded Plover	Anarhynchus bicinctus	https://ebird.org/species/dobplo1/	0.7592
Purple-backed Fairywren	Malurus assimilis	https://ebird.org/species/varfai1/	0.7134
Wonga Pigeon	Leucosarcia melanoleuca	https://ebird.org/species/wonpig1/	0.6947
Brown Quail	Synoicus ypsilophorus	https://ebird.org/species/broqua1/	0.6915
Black-faced Cormorant	Phalacrocorax fuscescens	https://ebird.org/species/blfcor1/	0.6838
Kelp Gull	Larus dominicanus	https://ebird.org/species/kelgul/	0.6809
Speckled Warbler	Pyrrholaemus sagittatus	https://ebird.org/species/spewar3/	0.6651
Australian Owlet-nightjar	Aegotheles cristatus	https://ebird.org/species/auonig1/	0.655
Scarlet Honeyeater	Myzomela sanguinolenta	https://ebird.org/species/scamyz1/	0.6532
Brown Songlark	Cincloramphus cruralis	https://ebird.org/species/broson1/	0.6499
Satin Flycatcher	Myiagra cyanoleuca	https://ebird.org/species/satfly1/	0.6341
Fairy Tern	Sternula nereis	https://ebird.org/species/faiter2/	0.6312
Brush Bronzewing	Phaps elegans	https://ebird.org/species/brubro1/	0.6301
Inland Thornbill	Acanthiza apicalis	https://ebird.org/species/inltho1/	0.6142
Horsfield's Bushlark	Mirafra javanica	https://ebird.org/species/sinbus6/	0.6072
White-breasted Woodswallow	Artamus leucorynchus	https://ebird.org/species/whbwoo4/	0.5925
Rufous Bristlebird	Dasyornis broadbenti	https://ebird.org/species/rufbri1/	0.5906
Brown Gerygone	Gerygone mouki	https://ebird.org/species/broger1/	0.5902
Western Gerygone	Gerygone fusca	https://ebird.org/species/wesger1/	0.5838
Gilbert's Whistler	Pachycephala inornata	https://ebird.org/species/gilwhi1/	0.5808
Yellow-throated Miner	Manorina flavigula	https://ebird.org/species/yetmin1/	0.5804
Tawny-crowned Honeyeater	Gliciphila melanops	https://ebird.org/species/tachon1/	0.5416
Shy Albatross	Thalassarche cauta	https://ebird.org/species/whcalb1/	0.5405
Masked Woodswallow	Artamus personatus	https://ebird.org/species/maswoo1/	0.5377
Eastern Curlew	Numenius madagascariensis	https://ebird.org/species/faecur/	0.5314
White-throated Needletail	Hirundapus caudacutus	https://ebird.org/species/whtnee/	0.5275
White-winged Black Tern	Chlidonias leucopterus	https://ebird.org/species/whwter/	0.5182
Splendid Fairywren	Malurus splendens	https://ebird.org/species/splfai1/	0.5173
White-fronted Honeyeater	Purnella albifrons	https://ebird.org/species/whfhon1/	0.5163
Little Tern	Sternula albifrons	https://ebird.org/species/litter1/	0.5137
Magpie Goose	Anseranas semipalmata	https://ebird.org/species/maggoo1/	0.5105
White-bellied Cuckooshrike	Coracina papuensis	https://ebird.org/species/whbcus1/	0.5099
Olive Whistler	Pachycephala olivacea	https://ebird.org/species/oliwhi1/	0.4935
Mulga Parrot	Psephotellus varius	https://ebird.org/species/mulpar1/	0.4921
Regent Parrot	Polytelis anthopeplus	https://ebird.org/species/regpar1/	0.4884
Shy Heathwren	Hylacola cauta	https://ebird.org/species/shyhea1/	0.4829
Muscovy Duck	Cairina moschata	https://ebird.org/species/musduc/	0.4804
Powerful Owl	Ninox strenua	https://ebird.org/species/powowl1/	0.4795
Short-tailed Shearwater	Ardenna tenuirostris	https://ebird.org/species/shtshe/	0.4776
Spotted Harrier	Circus assimilis	https://ebird.org/species/spohar1/	0.4719
White-winged Fairywren	Malurus leucopterus	https://ebird.org/species/whwfai1/	0.4651
Southern Emuwren	Stipiturus malachurus	https://ebird.org/species/souemu1/	0.4647
Azure Kingfisher	Ceyx azureus	https://ebird.org/species/azukin1/	0.4328
Leaden Flycatcher	Myiagra rubecula	https://ebird.org/species/leafly2/	0.4271
Glossy Ibis	Plegadis falcinellus	https://ebird.org/species/gloibi/	0.4141
Turquoise Parrot	Neophema pulchella	https://ebird.org/species/turpar1/	0.4112
Red Knot	Calidris canutus	https://ebird.org/species/redkno/	0.4101
Common Tern	Sterna hirundo	https://ebird.org/species/comter/	0.4056
Ruddy Turnstone	Arenaria interpres	https://ebird.org/species/rudtur/	0.399
Red-browed Treecreeper	Climacteris erythrops	https://ebird.org/species/rebtre1/	0.3918
Swift Parrot	Lathamus discolor	https://ebird.org/species/swipar1/	0.3874
Painted Buttonquail	Turnix varius	https://ebird.org/species/paibut/	0.3787
Banded Lapwing	Vanellus tricolor	https://ebird.org/species/banlap1/	0.3776
Black-browed Albatross	Thalassarche melanophris	https://ebird.org/species/bkbalb/	0.368
White-throated Gerygone	Gerygone olivacea	https://ebird.org/species/whtger1/	0.3649
Little Penguin	Eudyptula minor	https://ebird.org/species/litpen1/	0.3646
Scaly-breasted Lorikeet	Trichoglossus chlorolepidotus	https://ebird.org/species/scblor1/	0.3613
Baillon's Crake	Zapornia pusilla	https://ebird.org/species/baicra1/	0.3604
Pink Robin	Petroica rodinogaster	https://ebird.org/species/pinrob1/	0.3547
Song Thrush	Turdus philomelos	https://ebird.org/species/sonthr1/	0.3408
Black Falcon	Falco subniger	https://ebird.org/species/blafal1/	0.3377
Dollarbird	Eurystomus orientalis	https://ebird.org/species/dollar1/	0.3279
Large-billed Scrubwren	Sericornis magnirostra	https://ebird.org/species/labscr2/	0.3239
Southern Scrub-Robin	Drymodes brunneopygia	https://ebird.org/species/sosrob1/	0.3081
