<img src="ebird2anki-gubter2-308387391.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535361.mp3]
<img src="ebird2anki-yenalb3-609720988.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
<img src="ebird2anki-antalb1-609862743.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544460.mp3]
<img src="ebird2anki-antalb1-609862747.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544460.mp3]
<img src="ebird2anki-wanalb1-609860356.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544458.mp3]
[sound:ebird2anki-antalb1-544460.mp3];🎵;Antipodean Albatross;Diomedea antipodensis;<img src="ebird2anki-antalb1-609862742.jpg">
<img src="ebird2anki-yenalb3-609720984.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
[sound:ebird2anki-antalb1-544461.mp3];🎵;Antipodean Albatross;Diomedea antipodensis;<img src="ebird2anki-antalb1-609862743.jpg">
<img src="ebird2anki-gubter2-169897801.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535360.mp3]
<img src="ebird2anki-antalb1-609862746.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544461.mp3]
[sound:ebird2anki-gubter2-535361.mp3];🎵;Gull-billed Tern;Gelochelidon nilotica;<img src="ebird2anki-gubter2-609496610.jpg">
<img src="ebird2anki-wanalb1-609860350.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544458.mp3]
<img src="ebird2anki-wanalb1-609860360.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544459.mp3]
<img src="ebird2anki-wanalb1-609860353.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-505744.mp3]
<img src="ebird2anki-royalb3-609704454.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534949.mp3]
<img src="ebird2anki-wanalb1-609860355.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544459.mp3]
<img src="ebird2anki-antalb1-609862750.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544461.mp3]
<img src="ebird2anki-wanalb1-609860351.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544458.mp3]
<img src="ebird2anki-wanalb1-609860358.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-505744.mp3]
<img src="ebird2anki-royalb3-609704458.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534951.mp3]
<img src="ebird2anki-royalb3-609704460.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534950.mp3]
<img src="ebird2anki-wanalb1-609860359.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-544459.mp3]
[sound:ebird2anki-wanalb1-544458.mp3];🎵;Snowy Albatross;Diomedea exulans;<img src="ebird2anki-wanalb1-609860360.jpg">
[sound:ebird2anki-wanalb1-505744.mp3];🎵;Snowy Albatross;Diomedea exulans;<img src="ebird2anki-wanalb1-609860350.jpg">
[sound:ebird2anki-royalb3-534949.mp3];🎵;Northern Royal Albatross;Diomedea sanfordi;<img src="ebird2anki-royalb3-609704460.jpg">
<img src="ebird2anki-wanalb1-609860352.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-505744.mp3]
<img src="ebird2anki-royalb3-609704459.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534951.mp3]
[sound:ebird2anki-amgplo-548413.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-297938311.jpg">
<img src="ebird2anki-amgplo-297938101.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548410.mp3]
<img src="ebird2anki-royalb3-609704455.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534949.mp3]
<img src="ebird2anki-amgplo-34645721.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548408.mp3]
[sound:ebird2anki-amgplo-548410.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-297938271.jpg">
<img src="ebird2anki-wanalb1-609860354.jpg">;;Snowy Albatross;Diomedea exulans;[sound:ebird2anki-wanalb1-505744.mp3]
[sound:ebird2anki-amgplo-548412.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-297938391.jpg">
<img src="ebird2anki-royalb3-609704456.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534950.mp3]
[sound:ebird2anki-amgplo-548411.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-324140401.jpg">
[sound:ebird2anki-royalb3-534950.mp3];🎵;Northern Royal Albatross;Diomedea sanfordi;<img src="ebird2anki-royalb3-609704459.jpg">
<img src="ebird2anki-amgplo-297937901.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548408.mp3]
[sound:ebird2anki-wanalb1-544459.mp3];🎵;Snowy Albatross;Diomedea exulans;<img src="ebird2anki-wanalb1-609860352.jpg">
<img src="ebird2anki-royalb2-116225101.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-amgplo-39395681.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548409.mp3]
[sound:ebird2anki-royalb3-534951.mp3];🎵;Northern Royal Albatross;Diomedea sanfordi;<img src="ebird2anki-royalb3-609704455.jpg">
<img src="ebird2anki-royalb3-609704457.jpg">;;Northern Royal Albatross;Diomedea sanfordi;[sound:ebird2anki-royalb3-534949.mp3]
<img src="ebird2anki-amgplo-297938311.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548414.mp3]
<img src="ebird2anki-royalb2-116225081.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-amgplo-34642751.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548409.mp3]
<img src="ebird2anki-royalb2-116225071.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-amgplo-324140401.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548412.mp3]
<img src="ebird2anki-lessap2-609703554.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
[sound:ebird2anki-royalb2-534948.mp3];🎵;Southern Royal Albatross;Diomedea epomophora;<img src="ebird2anki-royalb2-609704168.jpg">
[sound:ebird2anki-amgplo-548409.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-297938101.jpg">
<img src="ebird2anki-royalb2-116225111.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-royalb2-609704182.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-amgplo-297938271.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548411.mp3]
<img src="ebird2anki-royalb2-609704183.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-wespet1-110137011.jpg">;;Westland Petrel;Procellaria westlandica;[sound:ebird2anki-wespet1-534975.mp3]
[sound:ebird2anki-amgplo-548408.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-34642751.jpg">
<img src="ebird2anki-amgplo-297938391.jpg">;;American Golden-Plover;Pluvialis dominica;[sound:ebird2anki-amgplo-548413.mp3]
[sound:ebird2anki-amgplo-548414.mp3];🎵;American Golden-Plover;Pluvialis dominica;<img src="ebird2anki-amgplo-34645721.jpg">
<img src="ebird2anki-lessap2-609703547.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
[sound:ebird2anki-lessap2-537844.mp3];🎵;Siberian Sand-Plover;Anarhynchus mongolus;<img src="ebird2anki-lessap2-609703549.jpg">
<img src="ebird2anki-lessap2-609703552.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
<img src="ebird2anki-royalb2-609704168.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-royalb2-609704181.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-royalb2-609704185.jpg">;;Southern Royal Albatross;Diomedea epomophora;[sound:ebird2anki-royalb2-534948.mp3]
<img src="ebird2anki-wespet1-110137051.jpg">;;Westland Petrel;Procellaria westlandica;[sound:ebird2anki-wespet1-534975.mp3]
<img src="ebird2anki-lessap2-609703549.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
<img src="ebird2anki-lessap2-609703548.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
<img src="ebird2anki-lessap2-621309914.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
[sound:ebird2anki-wespet1-534975.mp3];🎵;Westland Petrel;Procellaria westlandica;<img src="ebird2anki-wespet1-110137011.jpg">
<img src="ebird2anki-lessap2-609703551.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
<img src="ebird2anki-lessap2-609703550.jpg">;;Siberian Sand-Plover;Anarhynchus mongolus;[sound:ebird2anki-lessap2-537844.mp3]
<img src="ebird2anki-wespet1-110137061.jpg">;;Westland Petrel;Procellaria westlandica;[sound:ebird2anki-wespet1-534975.mp3]
<img src="ebird2anki-wespet1-110137071.jpg">;;Westland Petrel;Procellaria westlandica;[sound:ebird2anki-wespet1-534975.mp3]
