<img src="ebird2anki-houspa-63742401.jpg">;;House Sparrow;Passer domesticus;[sound:ebird2anki-houspa-550464.mp3]
[sound:ebird2anki-grybut1-539027.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125700961.jpg">
<img src="ebird2anki-houspa-305874101.jpg">;;House Sparrow;Passer domesticus;[sound:ebird2anki-houspa-550463.mp3]
<img src="ebird2anki-eursta-303929861.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-543798.mp3]
<img src="ebird2anki-easros1-117500731.jpg">;;Eastern Rosella;Platycercus eximius;[sound:ebird2anki-easros1-537986.mp3]
[sound:ebird2anki-ausmag2-538120.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501201.jpg">
<img src="ebird2anki-galah-122706081.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538603.mp3]
<img src="ebird2anki-easspi1-123615431.jpg">;;Eastern Spinebill;Acanthorhynchus tenuirostris;[sound:ebird2anki-easspi1-538046.mp3]
<img src="ebird2anki-ausmag2-117501241.jpg">;;Australian Magpie;Gymnorhina tibicen;[sound:ebird2anki-ausmag2-538124.mp3]
<img src="ebird2anki-laukoo1-121681201.jpg">;;Laughing Kookaburra;Dacelo novaeguineae;[sound:ebird2anki-laukoo1-537955.mp3]
<img src="ebird2anki-ausibi1-122678671.jpg">;;Australian White Ibis;Threskiornis molucca;[sound:ebird2anki-ausibi1-537928.mp3]
<img src="ebird2anki-eurbla-44584681.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-539287.mp3]
[sound:ebird2anki-grybut1-539029.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125700971.jpg">
[sound:ebird2anki-ausibi1-537930.mp3];🎵;Australian White Ibis;Threskiornis molucca;<img src="ebird2anki-ausibi1-122678671.jpg">
[sound:ebird2anki-gryfan1-539158.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802151.jpg">
<img src="ebird2anki-eursta-303928891.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-550262.mp3]
[sound:ebird2anki-dusmoo1-538467.mp3];🎵;Dusky Moorhen;Gallinula tenebrosa;<img src="ebird2anki-dusmoo1-122302351.jpg">
<img src="ebird2anki-gryfan1-125802171.jpg">;;Grey Fantail;Rhipidura albiscapa;[sound:ebird2anki-gryfan1-539148.mp3]
<img src="ebird2anki-golwhi1-125786871.jpg">;;Golden Whistler;Pachycephala pectoralis;[sound:ebird2anki-golwhi1-539092.mp3]
[sound:ebird2anki-galah-538602.mp3];🎵;Galah;Eolophus roseicapilla;<img src="ebird2anki-galah-122706081.jpg">
<img src="ebird2anki-grybut1-125700971.jpg">;;Grey Butcherbird;Cracticus torquatus;[sound:ebird2anki-grybut1-539030.mp3]
[sound:ebird2anki-grybut1-539031.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125700941.jpg">
[sound:ebird2anki-bkfcus1-539055.mp3];🎵;Black-faced Cuckooshrike;Coracina novaehollandiae;<img src="ebird2anki-bkfcus1-125783221.jpg">
<img src="ebird2anki-eurbla-44584651.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-539286.mp3]
<img src="ebird2anki-ausmag2-117501251.jpg">;;Australian Magpie;Gymnorhina tibicen;[sound:ebird2anki-ausmag2-538123.mp3]
