tags:bird-audio
[sound:noisy_miner_5.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_50.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_51.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_52.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_53.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_54.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_55.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_56.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_57.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_58.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_59.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_6.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_60.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_61.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_62.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_63.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_64.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_65.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_66.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_67.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_68.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_69.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_7.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_70.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
